Make,Model,Year,Total,Pass,Pass %,Fail,Fail %,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,area16,area17,area18,area19,area20,area21,area22,area23,area24,area25,area26,Incomplete,Incomplete %
ALFA ROMEO,159.00,2007.00,198.00,87.00,43.90,111.00,56.10,17.00,8.60,31.00,15.70,49.00,24.70,13.00,6.60,32.00,16.20,12.00,6.10,2.00,1.00,37.00,18.70,22.00,11.10,8.00,4.00,28.00,14.10,4.00,2.00,0.00,0.00,0.00,0.00
ALFA ROMEO,159.00,2008.00,129.00,60.00,46.50,69.00,53.50,15.00,11.60,21.00,16.30,37.00,28.70,10.00,7.80,11.00,8.50,2.00,1.60,3.00,2.30,18.00,14.00,21.00,16.30,6.00,4.70,17.00,13.20,3.00,2.30,2.00,1.60,0.00,0.00
ALFA ROMEO,159.00,2009.00,40.00,14.00,35.00,26.00,65.00,5.00,12.50,6.00,15.00,9.00,22.50,3.00,7.50,5.00,12.50,2.00,5.00,0.00,0.00,6.00,15.00,3.00,7.50,7.00,17.50,7.00,17.50,3.00,7.50,0.00,0.00,0.00,0.00
ALFA ROMEO,159.00,2010.00,58.00,33.00,56.90,25.00,43.10,4.00,6.90,6.00,10.30,13.00,22.40,3.00,5.20,8.00,13.80,1.00,1.70,0.00,0.00,7.00,12.10,7.00,12.10,3.00,5.20,4.00,6.90,2.00,3.40,0.00,0.00,0.00,0.00
ALFA ROMEO,159.00,2011.00,23.00,12.00,52.20,11.00,47.80,1.00,4.30,4.00,17.40,3.00,13.00,0.00,0.00,3.00,13.00,0.00,0.00,1.00,4.30,1.00,4.30,3.00,13.00,5.00,21.70,1.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,159.00,2012.00,2.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,166.00,2001.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,166.00,2002.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,166.00,2004.00,5.00,0.00,0.00,5.00,100.00,1.00,20.00,2.00,40.00,2.00,40.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,20.00,1.00,20.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00
ALFA ROMEO,166.00,2005.00,5.00,1.00,20.00,4.00,80.00,0.00,0.00,0.00,0.00,3.00,60.00,0.00,0.00,2.00,40.00,0.00,0.00,0.00,0.00,3.00,60.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,166.00,2006.00,2.00,0.00,0.00,2.00,100.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA,2006.00,13.00,5.00,38.50,8.00,61.50,3.00,23.10,4.00,30.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.70,0.00,0.00,0.00,0.00,1.00,7.70,1.00,7.70,1.00,7.70,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA,2007.00,21.00,12.00,57.10,9.00,42.90,2.00,9.50,4.00,19.00,3.00,14.30,2.00,9.50,1.00,4.80,0.00,0.00,1.00,4.80,2.00,9.50,1.00,4.80,1.00,4.80,1.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA,2008.00,10.00,5.00,50.00,5.00,50.00,2.00,20.00,1.00,10.00,0.00,0.00,0.00,0.00,2.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA,2009.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA,2010.00,3.00,1.00,33.30,2.00,66.70,0.00,0.00,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,2.00,66.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,BRERA 2.4 JTDM SV 200BHP,2007.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2010.00,18.00,13.00,72.20,5.00,27.80,1.00,5.60,2.00,11.10,1.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.60,1.00,5.60,0.00,0.00,1.00,5.60,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2011.00,16.00,12.00,75.00,4.00,25.00,1.00,6.30,2.00,12.50,0.00,0.00,0.00,0.00,1.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2012.00,90.00,76.00,84.40,14.00,15.60,5.00,5.60,7.00,7.80,2.00,2.20,0.00,0.00,2.00,2.20,1.00,1.10,0.00,0.00,2.00,2.20,0.00,0.00,1.00,1.10,0.00,0.00,1.00,1.10,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2013.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2014.00,30.00,27.00,90.00,3.00,10.00,1.00,3.30,1.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GIULIETTA,2015.00,5.00,4.00,80.00,1.00,20.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GT,2004.00,29.00,5.00,17.20,24.00,82.80,4.00,13.80,11.00,37.90,12.00,41.40,4.00,13.80,7.00,24.10,6.00,20.70,7.00,24.10,11.00,37.90,1.00,3.40,4.00,13.80,4.00,13.80,3.00,10.30,0.00,0.00,0.00,0.00
ALFA ROMEO,GT,2005.00,97.00,38.00,39.20,59.00,60.80,11.00,11.30,33.00,34.00,23.00,23.70,7.00,7.20,13.00,13.40,9.00,9.30,12.00,12.40,21.00,21.60,4.00,4.10,20.00,20.60,12.00,12.40,6.00,6.20,2.00,2.10,0.00,0.00
ALFA ROMEO,GT,2006.00,77.00,28.00,36.40,49.00,63.60,13.00,16.90,18.00,23.40,19.00,24.70,8.00,10.40,13.00,16.90,8.00,10.40,6.00,7.80,18.00,23.40,2.00,2.60,11.00,14.30,11.00,14.30,2.00,2.60,0.00,0.00,0.00,0.00
ALFA ROMEO,GT,2007.00,67.00,20.00,29.90,47.00,70.10,7.00,10.40,16.00,23.90,25.00,37.30,5.00,7.50,13.00,19.40,1.00,1.50,5.00,7.50,25.00,37.30,3.00,4.50,16.00,23.90,6.00,9.00,3.00,4.50,1.00,1.50,0.00,0.00
ALFA ROMEO,GT,2008.00,43.00,17.00,39.50,26.00,60.50,6.00,14.00,7.00,16.30,12.00,27.90,4.00,9.30,2.00,4.70,3.00,7.00,1.00,2.30,13.00,30.20,3.00,7.00,4.00,9.30,3.00,7.00,1.00,2.30,0.00,0.00,0.00,0.00
ALFA ROMEO,GT,2009.00,3.00,1.00,33.30,2.00,66.70,0.00,0.00,1.00,33.30,0.00,0.00,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00
ALFA ROMEO,GT,2010.00,11.00,5.00,45.50,6.00,54.50,2.00,18.20,3.00,27.30,2.00,18.20,2.00,18.20,1.00,9.10,0.00,0.00,0.00,0.00,2.00,18.20,0.00,0.00,4.00,36.40,1.00,9.10,2.00,18.20,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,1995.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,1996.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,1997.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,1999.00,4.00,1.00,25.00,3.00,75.00,1.00,25.00,1.00,25.00,1.00,25.00,1.00,25.00,1.00,25.00,1.00,25.00,2.00,50.00,1.00,25.00,0.00,0.00,0.00,0.00,2.00,50.00,1.00,25.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,2000.00,4.00,2.00,50.00,2.00,50.00,1.00,25.00,1.00,25.00,2.00,50.00,1.00,25.00,0.00,0.00,0.00,0.00,1.00,25.00,2.00,50.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,25.00,0.00,0.00,0.00,0.00
ALFA ROMEO,GTV,2001.00,2.00,0.00,0.00,2.00,100.00,0.00,0.00,1.00,50.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,2.00,100.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00
ALFA ROMEO,MITO,2009.00,22.00,19.00,86.40,3.00,13.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,9.10,0.00,0.00,0.00,0.00,1.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,MITO,2010.00,36.00,16.00,44.40,20.00,55.60,5.00,13.90,3.00,8.30,7.00,19.40,1.00,2.80,6.00,16.70,1.00,2.80,0.00,0.00,0.00,0.00,8.00,22.20,2.00,5.60,2.00,5.60,2.00,5.60,0.00,0.00,0.00,0.00
ALFA ROMEO,MITO,2011.00,5.00,2.00,40.00,3.00,60.00,0.00,0.00,0.00,0.00,3.00,60.00,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,MITO,2012.00,5.00,3.00,60.00,2.00,40.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,MITO,2014.00,4.00,3.00,75.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1982.00,2.00,0.00,0.00,2.00,100.00,1.00,50.00,1.00,50.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,1.00,50.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1983.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1984.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1987.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1989.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1990.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1991.00,2.00,0.00,0.00,2.00,100.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1992.00,2.00,0.00,0.00,2.00,100.00,2.00,100.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1995.00,1.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1996.00,5.00,2.00,40.00,3.00,60.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,20.00,3.00,60.00,1.00,20.00,0.00,0.00
ALFA ROMEO,OTHER,1997.00,4.00,1.00,25.00,3.00,75.00,1.00,25.00,1.00,25.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,25.00,1.00,25.00,0.00,0.00,2.00,50.00,1.00,25.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1998.00,2.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,1999.00,7.00,4.00,57.10,3.00,42.90,0.00,0.00,2.00,28.60,3.00,42.90,1.00,14.30,0.00,0.00,2.00,28.60,1.00,14.30,3.00,42.90,1.00,14.30,0.00,0.00,1.00,14.30,1.00,14.30,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,2000.00,5.00,1.00,20.00,4.00,80.00,1.00,20.00,2.00,40.00,3.00,60.00,1.00,20.00,0.00,0.00,2.00,40.00,1.00,20.00,3.00,60.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,2001.00,19.00,4.00,21.10,15.00,78.90,4.00,21.10,7.00,36.80,3.00,15.80,3.00,15.80,2.00,10.50,4.00,21.10,2.00,10.50,2.00,10.50,0.00,0.00,2.00,10.50,3.00,15.80,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,2002.00,27.00,9.00,33.30,18.00,66.70,3.00,11.10,5.00,18.50,8.00,29.60,4.00,14.80,2.00,7.40,2.00,7.40,2.00,7.40,8.00,29.60,0.00,0.00,3.00,11.10,4.00,14.80,1.00,3.70,0.00,0.00,0.00,0.00
ALFA ROMEO,OTHER,2003.00,23.00,4.00,17.40,19.00,82.60,3.00,13.00,14.00,60.90,8.00,34.80,3.00,13.00,5.00,21.70,0.00,0.00,1.00,4.30,8.00,34.80,0.00,0.00,4.00,17.40,8.00,34.80,4.00,17.40,0.00,0.00,0.00,0.00
